Date,Internal_Number,SEDOL,TurnoverRatioFO,TurnoverRatio,CHECK_1
2022-03-21,IN06EP,BWGW724,0.01759119,0.01978892,false
2023-03-20,AE20XN,6625838,1.27516826,1.33113425,false
2023-03-20,SA2239,B133P41,0.20096387,0.28050346,false
